finding,analysis_date,period,projected_starting,actual_starting,discrepancy,explanation,shortage_amount,spread_months,respa_standard,excess_months,monthly_at_12mo,monthly_actual,low_2023,low_2024,low_2025,insurance_paid,premium,policy_due,days_early,starting_projected,starting_actual,gap_at_start,may_projected,may_actual,gap_at_may,gap,haf_deposit_march,escrow_after_haf,escrow_after_may_ins,disclosure_2024_shortage,disclosure_2024_spread,deficit_2024,disclosure_2025_shortage,disclosure_2025_spread,deficit_2025,total_harm
STARTING_BALANCE_DISCREPANCY,06/26/2024,08/2024–07/2025,3519.09,0.0,3519.09,"Servicer projected $3,519.09 but actual was $0.00 — $3,519.09 unaccounted for",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARTING_BALANCE_DISCREPANCY,06/05/2025,08/2025–07/2026,2590.81,-6407.66,8998.47,"Servicer projected $2,590.81 but actual was $-6,407.66 — $8,998.47 unaccounted for",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON_STANDARD_SHORTAGE_SPREAD,06/26/2024,08/2024–07/2025,,,,"$6,109.75 spread over 53 months vs 12-month RESPA standard — keeps deficit alive 41 extra months",6109.75,53.0,12.0,41.0,509.15,115.28,,,,,,,,,,,,,,,,,,,,,,,,
NON_STANDARD_SHORTAGE_SPREAD,06/05/2025,08/2025–07/2026,,,,"$4,430.32 spread over 41 months vs 12-month RESPA standard — keeps deficit alive 29 extra months",4430.32,41.0,12.0,29.0,369.19,108.06,,,,,,,,,,,,,,,,,,,,,,,,
DEEPENING_DEFICIT,2023→2024,,,,,"Projected low point worsened from $-636.93 to $-4,382.52 despite monthly escrow increasing from $473.10 to $722.18",,,,,,,-636.93,-4382.52,-2603.46,,,,,,,,,,,,,,,,,,,,,
EARLY_INSURANCE_BEFORE_ANALYSIS,06/20/2023,,,,,"Insurance paid 28 days early, escrow depleted before annual analysis captures low point as 'shortage'",,,,,,,,,,05/25/2023,4384.0,06/22/2023,28.0,,,,,,,,,,,,,,,,,
EARLY_INSURANCE_BEFORE_ANALYSIS,06/26/2024,,,,,"Insurance paid 25 days early, escrow depleted before annual analysis captures low point as 'shortage'",,,,,,,,,,05/28/2024,6785.0,06/22/2024,25.0,,,,,,,,,,,,,,,,,
EARLY_INSURANCE_BEFORE_ANALYSIS,06/05/2025,,,,,"Insurance paid 38 days early, escrow depleted before annual analysis captures low point as 'shortage'",,,,,,,,,,05/15/2025,7352.0,06/22/2025,38.0,,,,,,,,,,,,,,,,,
2024_PROJECTED_VS_ACTUAL_HISTORY,06/26/2024,,,,,"Projected starting balance $3,519.09 vanished — actual $0.00. By May (insurance), projected -$1,327 vs actual -$7,130 = $5,803 gap",,,,,,,,,,,,,,3519.09,0.0,3519.09,-1327.07,-7129.84,5802.77,,,,,,,,,,,
2025_STARTING_BALANCE_GAP,06/05/2025,,,,,"Projected +$2,590.81 vs actual -$6,407.66 = $8,998 gap at start. HAF briefly restored balance but manufactured cycle immediately recaptured it",,,,,,,,,,,,,,2590.81,-6407.66,,,,,8998.47,10733.91,2571.97,-6584.62,,,,,,,
SHORTAGE_SPREAD_HARM,,,,,,"Extended shortage spreads (53mo/41mo vs 12mo standard) keep escrow in perpetual deficit, generating unnecessary advances and inflating payments",,,,,,,,,,,,,,,,,,,,,,,,6109.75,53.0,16148.5,4430.32,41.0,7572.87,23721.37
